Provider_Name,Month,Overall_Score,HEDIS_Compliance_Rate,Gap_Closure_Rate,Patient_Satisfaction
Dr. Sarah Martinez,Oct 2024,86.2,87.5,70.5,4.7
Dr. Sarah Martinez,Nov 2024,87.5,88.8,71.2,4.8
Dr. Sarah Martinez,Dec 2024,88.0,89.2,71.8,4.8
Dr. Sarah Martinez,Jan 2025,88.5,89.5,72.2,4.8
Dr. Robert Johnson,Oct 2024,85.8,86.5,73.2,4.6
Dr. Robert Johnson,Nov 2024,86.5,87.2,74.0,4.7
Dr. Robert Johnson,Dec 2024,87.2,87.8,74.5,4.7
Dr. Robert Johnson,Jan 2025,87.8,88.2,75.0,4.7
Dr. James Chen,Oct 2024,84.5,85.2,69.8,4.5
Dr. James Chen,Nov 2024,85.2,85.8,70.5,4.6
Dr. James Chen,Dec 2024,85.8,86.2,71.0,4.6
Dr. James Chen,Jan 2025,86.2,86.5,71.4,4.6
Dr. Maria Rodriguez,Oct 2024,82.2,83.5,61.2,4.3
Dr. Maria Rodriguez,Nov 2024,82.8,84.0,61.8,4.4
Dr. Maria Rodriguez,Dec 2024,83.2,84.5,62.2,4.4
Dr. Maria Rodriguez,Jan 2025,83.5,84.8,62.5,4.4
Dr. Michael Brown,Oct 2024,83.5,84.0,61.5,4.4
Dr. Michael Brown,Nov 2024,84.0,84.5,62.0,4.5
Dr. Michael Brown,Dec 2024,84.5,85.0,62.2,4.5
Dr. Michael Brown,Jan 2025,84.8,85.2,62.5,4.5
